utterance,spa_all,spa_1,spa_2,spa_2a,time_stamp,speaker,sentence,lemmas,pos,action,file_id,errors,child
0,,,,,00:00:00,CHI,xxx that there ?, that there ?, comp adv,looks around room,formatted/Bates/Snack28/doug_snack.json,,doug
1,,,,,00:00:00,MOT,oh he's just resting there .,oh he be just rest there .,co pro_sub aux adv part n,looks at Doug,formatted/Bates/Snack28/doug_snack.json,,doug
2,,,,,00:00:00,MOT,just resting .,just rest .,adv part,,formatted/Bates/Snack28/doug_snack.json,,doug
3,,,,,00:00:00,CHI,Mommy kiss him .,Mommy kiss him .,n_prop v pro_obj,looks at Mother,formatted/Bates/Snack28/doug_snack.json,,doug
4,,,,,00:00:00,CHI,xxx,,,glances at camera,formatted/Bates/Snack28/doug_snack.json,,doug
5,,,,,00:00:00,MOT,Bobby's fine .,Bobby fine .,adj n,,formatted/Bates/Snack28/doug_snack.json,,doug
6,,,,,00:00:00,MOT,I don't need to kiss him .,I do not need to kiss him .,pro_sub mod neg v inf v pro_obj,,formatted/Bates/Snack28/doug_snack.json,,doug
7,,,,,00:00:00,MOT,hm ?,hm ?,co,,formatted/Bates/Snack28/doug_snack.json,,doug
8,,,,,00:00:00,CHI,xxx,,,<aft> looks at Mother,formatted/Bates/Snack28/doug_snack.json,,doug
9,,,,,00:00:00,MOT,xxx didn't understand how's yer cracker ?, do not understand how be your cracker ?, mod neg v pro_rel cop det_poss n,,formatted/Bates/Snack28/doug_snack.json,,doug
10,,,,,00:00:00,CHI,xxx no ., no ., co,,formatted/Bates/Snack28/doug_snack.json,,doug
11,,,,,00:00:00,MOT,well alright I won't ask then .,well alright I will not ask then .,co adj pro_sub mod neg v adv_tem,,formatted/Bates/Snack28/doug_snack.json,,doug
12,,,,,00:00:00,INV,sometimes if you would repeat what he said .,sometimes if you will repeat what he say .,adv_tem conj pro_per mod v pro_int pro_sub v,,formatted/Bates/Snack28/doug_snack.json,,doug
