utterance,spa_all,spa_1,spa_2,spa_2a,time_stamp,speaker,sentence,lemmas,pos,action,file_id,errors,child
0,,,,,00:00:00,MOT,okay !,okay !,co,,formatted/Bernstein/Gail/011100.json,u31,gail
1,,,,,00:00:00,MOT,what else would you like to play with ?,what else will you like to play with ?,pro_int post mod pro_per v inf v prep,,formatted/Bernstein/Gail/011100.json,u31,gail
2,,,,,00:00:00,MOT,a book ?,a book ?,det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
3,,,,,00:00:00,MOT,which book is this ?,which book be this ?,pro_rel n cop pro_dem,,formatted/Bernstein/Gail/011100.json,u31,gail
4,,,,,00:00:00,MOT,can you tell me about the pictures ?,can you tell me about the picture ?,mod pro_per v pro_obj prep det_art n,,formatted/Bernstein/Gail/011100.json,u31,gail
5,,,,,00:00:00,MOT,mm hm .,mm hm .,co co,,formatted/Bernstein/Gail/011100.json,u31,gail
6,,,,,00:00:00,MOT,mm !,mm !,co,,formatted/Bernstein/Gail/011100.json,u31,gail
7,,,,,00:00:00,MOT,what's he doing ?,what be he do ?,pro_int cop pro_sub part,,formatted/Bernstein/Gail/011100.json,u31,gail
8,,,,,00:00:00,MOT,mm !,mm !,co,,formatted/Bernstein/Gail/011100.json,u31,gail
9,,,,,00:00:00,MOT,yes !,yes !,co,,formatted/Bernstein/Gail/011100.json,u31,gail
10,,,,,00:00:00,MOT,what else does he have ?,what else do he have ?,pro_int post v pro_sub v,,formatted/Bernstein/Gail/011100.json,u31,gail
11,,,,,00:00:00,MOT,mm hm .,mm hm .,co co,,formatted/Bernstein/Gail/011100.json,u31,gail
12,,,,,00:00:00,MOT,how many ?,how many ?,pro_int qn,,formatted/Bernstein/Gail/011100.json,u31,gail
13,,,,,00:00:00,MOT,yes .,yes .,co,,formatted/Bernstein/Gail/011100.json,u31,gail
14,,,,,00:00:00,MOT,what colors are there ?,what color be there ?,pro_int n cop adv,,formatted/Bernstein/Gail/011100.json,u31,gail
15,,,,,00:00:00,MOT,colors ?,color ?,n,,formatted/Bernstein/Gail/011100.json,u31,gail
16,,,,,00:00:00,MOT,what's on the blocks Gail ?,what be on the block Gail ?,pro_int cop prep det_art n n_prop,,formatted/Bernstein/Gail/011100.json,u31,gail
17,,,,,00:00:00,MOT,what are those ?,what be those ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/011100.json,u31,gail
18,,,,,00:00:00,MOT,he has a hat and he has hair and what else does he have ?,he have a hat and he have hair and what else do he have ?,pro_sub v det_art n coord pro_sub v n coord pro_int post v pro_sub v,,formatted/Bernstein/Gail/011100.json,u31,gail
19,,,,,00:00:00,MOT,hands !,hand !,n,,formatted/Bernstein/Gail/011100.json,u31,gail
20,,,,,00:00:00,MOT,and what's on his hands ?,and what be on his hand ?,coord pro_int cop prep det_poss n,,formatted/Bernstein/Gail/011100.json,u31,gail
21,,,,,00:00:00,MOT,what are these ?,what be these ?,pro_int cop pro_dem,,formatted/Bernstein/Gail/011100.json,u31,gail
22,,,,,00:00:00,MOT,does he have these ?,do he have these ?,mod pro_sub v pro_dem,,formatted/Bernstein/Gail/011100.json,u31,gail
23,,,,,00:00:00,MOT,yes ?,yes ?,co,,formatted/Bernstein/Gail/011100.json,u31,gail
24,,,,,00:00:00,MOT,okay .,okay .,co,,formatted/Bernstein/Gail/011100.json,u31,gail
25,,,,,00:00:00,MOT,Gail ?,Gail ?,n_prop,,formatted/Bernstein/Gail/011100.json,u31,gail
26,,,,,00:00:00,MOT,how many puppies do you see ?,how many puppy do you see ?,pro_int qn n v pro_per v,,formatted/Bernstein/Gail/011100.json,u31,gail
27,,,,,00:00:00,MOT,doggies .,dog .,n,,formatted/Bernstein/Gail/011100.json,u31,gail
28,,,,,00:00:00,MOT,how many doggies are there ?,how many dog be there ?,pro_int qn n cop adv,,formatted/Bernstein/Gail/011100.json,u31,gail
29,,,,,00:00:00,MOT,kittens .,kitten .,n,,formatted/Bernstein/Gail/011100.json,u31,gail
30,,,,,00:00:00,MOT,can you tell me how many ?,can you tell me how many ?,mod pro_per v pro_obj pro_int qn,,formatted/Bernstein/Gail/011100.json,u31,gail
